Date,Date,Open,High,Low,Close,Volume,Volume (Currency),Weighted Price
2017-12-11,2017-12-11,14850.0,17423.0,14850.0,16578.0,4505.52736884,74307059.09086,16492.422086871
2017-12-12,2017-12-12,16568.1,17390.1,16300.0,16889.3,3333.16711892,56071409.74672,16822.261754727
2017-12-13,2017-12-13,16894.3,17199.9,15717.0,16150.1,3288.35052657,54417834.022072,16548.671919971
2017-12-14,2017-12-14,16135.3,16698.5,15825.7,16376.1,2915.69181985,47483492.41527,16285.497696294
2017-12-15,2017-12-15,16376.6,17950.0,16323.3,17500.0,3611.7813784,62658454.906154,17348.352057209
2017-12-16,2017-12-16,17500.0,19500.0,17343.0,19356.9,2758.74152106,50777234.899466,18405.941445343
2017-12-17,2017-12-17,19356.9,19660.0,18567.1,18920.6,3274.96908744,62668069.973058,19135.469160121
2017-12-18,2017-12-18,18920.8,19289.0,18298.5,18833.1,3388.9076985,63317251.15094,18683.675326704
2017-12-19,2017-12-19,18832.8,18946.8,16723.5,17600.5,4451.90521413,80548883.039631,18093.126238172
2017-12-20,2017-12-20,17593.5,17724.5,15501.2,16220.7,6042.25468999,99791126.962634,16515.544624088
2017-12-21,2017-12-21,16217.7,16950.0,14315.0,15180.0,4131.37583307,64895606.297597,15707.98903797
2017-12-22,2017-12-22,15184.3,15442.3,11205.0,13874.1,11076.10780529,147410514.52761,13308.873217829
2017-12-23,2017-12-23,13899.8,15600.0,13499.9,14560.9,3831.47848784,56472260.066801,14739.025743203
2017-12-24,2017-12-24,14569.4,14841.8,12500.0,13760.0,3621.10168348,48903274.553619,13505.081830958
2017-12-25,2017-12-25,13760.0,14512.0,13030.0,13865.0,2454.50188473,34059670.817416,13876.408500359
2017-12-26,2017-12-26,13870.0,16249.0,13763.0,15814.5,3622.53308714,55898541.4778,15430.788382925
2017-12-27,2017-12-27,15813.3,16555.2,14624.0,15445.9,3771.65844893,58956227.301679,15631.38022702
2017-12-28,2017-12-28,15444.3,15550.0,13732.5,14548.8,5020.62568393,72251227.308032,14390.881108562
2017-12-29,2017-12-29,14566.1,15198.5,14250.0,14400.8,3219.8920918,47183299.552711,14653.689691301
2017-12-30,2017-12-30,14400.8,14438.8,12132.4,12600.0,4404.2834104,58197495.731039,13213.839870889
2017-12-31,2017-12-31,12600.0,14299.0,12500.0,13990.0,2210.38420793,29672163.936218,13423.984766886
2018-01-01,2018-01-01,13971.1,14442.9,13050.0,13506.1,2226.37250671,30453735.422821,13678.634339508
2018-01-02,2018-01-02,13506.1,15300.0,13088.8,14882.0,3228.21366839,45657584.871591,14143.297055787
2018-01-03,2018-01-03,14882.0,15599.7,14701.9,15185.7,2740.65307326,41376944.456504,15097.476167345
2018-01-04,2018-01-04,15186.7,15500.1,14417.1,15266.6,3497.90019972,52267643.715369,14942.577183749
2018-01-05,2018-01-05,15266.6,17000.0,14961.0,16990.0,3728.58977026,59665095.733659,16002.054237653
